Trials,Precision,Regret,CumulativeRegret
415,95.4,0.343,485.729
416,96.4,0.346,486.075
417,96.6,0.324,486.399
418,96.8,0.371,486.770
419,96.4,0.290,487.060
420,96.6,0.282,487.342
421,96.8,0.320,487.661
422,96.4,0.299,487.960
423,96.6,0.328,488.288
424,97.0,0.352,488.640
425,95.6,0.373,489.013
426,96.8,0.378,489.391
427,96.4,0.345,489.735
428,96.8,0.340,490.076
429,96.6,0.323,490.398
430,97.2,0.298,490.696
431,96.6,0.287,490.984
432,97.8,0.340,491.324
433,96.2,0.300,491.624
434,96.4,0.313,491.937
435,96.4,0.364,492.301
436,96.8,0.346,492.647
437,96.8,0.399,493.046
438,97.0,0.385,493.431
439,98.0,0.320,493.751
440,96.8,0.365,494.116
441,98.2,0.267,494.383
442,96.2,0.350,494.733
443,96.2,0.310,495.043
444,96.4,0.376,495.419
445,96.8,0.318,495.737
446,97.0,0.421,496.158
447,96.6,0.343,496.501
448,98.2,0.237,496.738
449,95.4,0.304,497.042
450,97.4,0.277,497.319
451,97.0,0.330,497.649
452,96.2,0.287,497.935
453,97.2,0.332,498.268
454,97.0,0.394,498.662
455,97.2,0.340,499.001
456,97.2,0.346,499.347
457,97.4,0.323,499.670
458,97.2,0.333,500.003
459,96.8,0.304,500.307
460,96.8,0.312,500.618
461,97.8,0.317,500.935
462,97.2,0.384,501.319
463,97.0,0.376,501.696
464,96.6,0.316,502.012
465,97.8,0.268,502.280
466,97.2,0.316,502.596
467,96.8,0.297,502.893
468,96.8,0.292,503.185
469,97.4,0.315,503.500
470,97.0,0.304,503.804
471,97.2,0.237,504.042
472,96.6,0.335,504.377
473,97.4,0.425,504.803
474,97.6,0.365,505.168
475,98.0,0.340,505.508
476,97.2,0.321,505.829
477,97.4,0.270,506.099
478,97.2,0.252,506.351
479,96.8,0.290,506.642
480,96.0,0.385,507.027
481,97.6,0.305,507.332
482,97.4,0.284,507.616
483,97.4,0.284,507.900
484,97.8,0.244,508.145
485,97.0,0.321,508.466
486,97.0,0.266,508.731
487,97.6,0.351,509.082
488,97.4,0.341,509.423
489,97.6,0.283,509.706
490,97.6,0.311,510.017
491,97.6,0.220,510.237
492,96.2,0.332,510.568
493,97.0,0.300,510.869
494,97.6,0.284,511.152
495,98.4,0.311,511.464
496,97.8,0.267,511.730
497,97.2,0.212,511.942
498,97.4,0.392,512.334
499,97.2,0.270,512.605
500,97.8,0.272,512.877
501,97.4,0.252,513.129
502,96.8,0.306,513.435
503,97.4,0.294,513.729
504,97.6,0.255,513.984
505,97.4,0.340,514.324
506,96.8,0.287,514.611
507,97.4,0.321,514.932
508,97.0,0.309,515.240
509,98.2,0.261,515.502
510,98.2,0.321,515.822
511,97.4,0.293,516.116
512,97.4,0.244,516.360
513,97.6,0.349,516.709
514,98.4,0.327,517.036
515,98.0,0.231,517.267
516,98.0,0.277,517.545
517,97.6,0.283,517.827
518,98.4,0.282,518.110
519,98.0,0.272,518.382
520,98.2,0.257,518.639
521,96.8,0.327,518.966
522,98.4,0.335,519.301
523,97.8,0.266,519.567
524,97.4,0.360,519.927
525,97.2,0.261,520.188
526,97.8,0.247,520.435
527,97.2,0.332,520.767
528,98.0,0.285,521.052
529,97.8,0.289,521.341
530,98.4,0.326,521.666
531,97.0,0.290,521.956
532,98.0,0.314,522.270
533,98.4,0.246,522.516
534,97.8,0.270,522.787
535,97.4,0.272,523.058
536,97.6,0.288,523.347
537,98.0,0.234,523.580
538,97.8,0.236,523.816
539,97.6,0.206,524.022
540,98.0,0.268,524.289
541,97.2,0.258,524.548
542,98.4,0.274,524.822
543,97.8,0.250,525.072
544,98.8,0.304,525.376
545,98.2,0.266,525.642
546,98.0,0.228,525.870
547,98.4,0.278,526.148
548,97.8,0.258,526.407
549,98.8,0.215,526.622
550,98.4,0.247,526.869
551,98.0,0.331,527.199
552,98.0,0.316,527.515
553,98.4,0.271,527.786
554,98.2,0.294,528.080
555,97.4,0.274,528.354
556,98.6,0.241,528.595
557,98.4,0.289,528.884
558,98.2,0.276,529.160
559,98.2,0.281,529.441
560,98.4,0.348,529.789
561,98.4,0.271,530.060
562,98.6,0.239,530.299
563,98.4,0.263,530.562
564,98.0,0.259,530.821
565,98.6,0.289,531.110
566,97.8,0.270,531.381
567,97.6,0.249,531.630
568,97.4,0.285,531.915
569,97.8,0.299,532.213
570,98.0,0.245,532.458
571,98.4,0.297,532.755
572,98.4,0.219,532.974
573,99.0,0.246,533.220
574,98.4,0.278,533.498
575,98.4,0.199,533.696
576,98.6,0.253,533.950
577,98.2,0.290,534.239
578,98.4,0.242,534.482
579,98.0,0.237,534.719
580,98.2,0.244,534.962
581,98.8,0.292,535.255
582,98.8,0.321,535.575
583,97.8,0.253,535.828
584,98.6,0.321,536.149
585,98.2,0.306,536.455
586,98.4,0.195,536.650
587,98.6,0.273,536.923
588,98.2,0.339,537.263
589,98.0,0.254,537.516
590,97.4,0.271,537.788
591,98.2,0.268,538.055
592,98.2,0.266,538.321
593,98.0,0.283,538.604
594,97.8,0.272,538.876
595,98.6,0.271,539.147
596,98.6,0.215,539.362
597,98.4,0.282,539.644
598,98.0,0.286,539.930
599,98.0,0.250,540.180
600,98.6,0.240,540.420
601,98.4,0.258,540.678
602,98.0,0.325,541.003
603,98.2,0.294,541.296
604,98.0,0.259,541.555
605,99.0,0.211,541.766
606,98.0,0.237,542.003
607,98.0,0.289,542.292
608,97.6,0.256,542.548
609,98.2,0.266,542.814
610,98.6,0.298,543.112
611,98.6,0.246,543.358
612,97.6,0.256,543.614
613,97.8,0.219,543.832
614,98.2,0.228,544.060
615,98.2,0.226,544.286
616,98.6,0.242,544.528
617,98.6,0.263,544.791
618,97.8,0.205,544.995
619,98.0,0.319,545.314
620,98.6,0.268,545.583
621,98.6,0.234,545.817
622,99.0,0.265,546.082
623,98.2,0.267,546.349
624,98.4,0.255,546.604
625,98.8,0.244,546.848
626,98.0,0.254,547.102
627,98.6,0.242,547.343
628,98.4,0.188,547.531
629,97.8,0.171,547.702
630,98.4,0.240,547.942
631,98.8,0.280,548.222
632,98.8,0.244,548.466
633,98.6,0.315,548.781
634,98.4,0.237,549.018
635,98.0,0.256,549.274
636,98.8,0.282,549.555
637,99.2,0.219,549.775
638,98.8,0.247,550.022
639,98.6,0.299,550.321
640,99.0,0.226,550.547
641,98.6,0.211,550.758
642,98.8,0.242,551.000
643,98.6,0.219,551.219
644,98.4,0.214,551.432
645,98.4,0.277,551.709
646,97.6,0.200,551.909
647,98.6,0.293,552.202
648,98.8,0.231,552.433
649,98.8,0.272,552.706
650,98.6,0.207,552.912
651,98.4,0.242,553.155
652,98.8,0.300,553.454
653,98.4,0.216,553.670
654,98.4,0.231,553.901
655,99.0,0.203,554.103
656,99.0,0.238,554.341
657,99.0,0.188,554.529
658,98.8,0.250,554.778
659,99.0,0.263,555.041
660,98.4,0.198,555.240
661,98.6,0.256,555.495
662,99.0,0.243,555.739
663,98.8,0.196,555.935
664,98.8,0.261,556.195
665,98.6,0.246,556.441
666,98.2,0.193,556.634
667,99.0,0.293,556.927
668,98.8,0.196,557.123
669,98.6,0.227,557.350
670,98.6,0.241,557.591
671,98.4,0.183,557.774
672,98.6,0.205,557.979
673,98.8,0.249,558.228
674,98.8,0.223,558.451
675,99.0,0.190,558.640
676,98.6,0.227,558.868
677,98.2,0.210,559.078
678,99.0,0.200,559.278
679,98.6,0.193,559.471
680,99.0,0.213,559.684
681,99.0,0.238,559.922
682,98.8,0.195,560.117
683,99.0,0.230,560.348
684,99.0,0.221,560.569
685,98.8,0.230,560.799
686,98.4,0.237,561.036
687,99.4,0.188,561.224
688,98.8,0.206,561.430
689,98.6,0.214,561.644
690,99.4,0.233,561.877
691,99.4,0.243,562.119
692,98.8,0.250,562.369
693,98.8,0.270,562.639
694,98.8,0.182,562.821
695,99.4,0.203,563.023
696,98.6,0.187,563.210
697,98.8,0.207,563.417
698,99.0,0.189,563.606
699,98.6,0.221,563.828
700,99.0,0.228,564.055
701,98.8,0.266,564.322
702,98.8,0.235,564.557
703,98.2,0.247,564.804
704,98.8,0.225,565.029
705,99.2,0.194,565.223
706,98.8,0.198,565.420
707,99.2,0.234,565.655
708,98.8,0.237,565.892
709,99.2,0.225,566.118
710,99.2,0.202,566.319
711,99.2,0.247,566.567
712,99.2,0.213,566.780
713,99.2,0.266,567.046
714,98.8,0.243,567.290
715,99.2,0.237,567.526
716,98.8,0.225,567.752
717,99.2,0.213,567.965
718,99.4,0.194,568.159
719,98.8,0.227,568.386
720,99.0,0.163,568.549
